experiment,method,interactions,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,total_tp,total_fp,total_fn,bootstrap_macro_f1_mean,bootstrap_macro_f1_lo,bootstrap_macro_f1_hi,mean_n_pred_events,mean_pct_high_critical
aggregation,equal,on,0.4721189591078067,0.5364308342133052,0.5022244191794365,0.6508953976327846,0.5637391209525172,0.5546037875888622,508.0,568.0,439.0,0.5546037875888622,0.4713598673300166,0.6670103938350206,107.6,12.858189513400422
aggregation,max,on,0.7786885245901639,0.1003167898627244,0.17773620205799812,0.9761061946902654,0.14789087897932895,0.23478491590993172,95.0,27.0,852.0,0.23478491590993172,0.13369121733512057,0.3586191685377467,12.2,98.19383776726993
aggregation,weighted,on,0.4733893557422969,0.5353748680042238,0.5024777006937562,0.6583766988930922,0.5717804834829309,0.5672802558865289,507.0,564.0,440.0,0.5672802558865289,0.492241454275501,0.6738941067299916,107.1,12.355041214921668
interactions,weighted,off,0.5265251989389921,0.4192185850052798,0.46678424456202233,0.6404053431598342,0.41272574236507253,0.4441412784999182,397.0,357.0,550.0,0.4441412784999182,0.3567629562567789,0.5199810153648768,75.4,0.012043787771254059
interactions,weighted,on,0.4733893557422969,0.5353748680042238,0.5024777006937562,0.6583766988930922,0.5717804834829309,0.5672802558865289,507.0,564.0,440.0,0.5672802558865289,0.492241454275501,0.6738941067299916,107.1,12.355041214921668
