p,mode,seed,video_id,precision,recall,f1,tp,fp,fn,n_pred_events,mean_score,std_score,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,total_tp,total_fp,total_fn
0.0,none,0,V1,0.8688524590163934,0.3464052287581699,0.4953271028037383,53.0,8.0,100.0,61,0.37556931929077186,0.08649622509209672,,,,,,,,,
0.0,none,0,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0,2.0,5.0,6,0.4053830412554639,0.10466561079814597,,,,,,,,,
0.0,none,0,V3,0.56,0.3333333333333333,0.41791044776119407,14.0,11.0,28.0,25,0.3889097530867469,0.11728461889811921,,,,,,,,,
0.0,none,0,V4,0.5555555555555556,0.4166666666666667,0.4761904761904762,5.0,4.0,7.0,9,0.4230490189807877,0.11898836750751488,,,,,,,,,
0.0,none,0,V5,1.0,0.42857142857142855,0.6,12.0,0.0,16.0,12,0.3314246889202723,0.1400836944770083,,,,,,,,,
0.0,none,0,V6,0.4326923076923077,0.5912408759124088,0.499691548426897,405.0,531.0,280.0,936,0.18390918611742182,0.13630942715779204,,,,,,,,,
0.0,none,0,V7,0.6666666666666666,0.8,0.7272727272727272,4.0,2.0,1.0,6,0.3831378821286739,0.11768616934389586,,,,,,,,,
0.0,none,0,V8,1.0,0.8571428571428571,0.923076923076923,6.0,0.0,1.0,6,0.3863786818597574,0.13153198774277106,,,,,,,,,
0.0,none,0,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.2772072240340499,0.1372263537803166,,,,,,,,,
0.0,none,0,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.3198128406497743,0.11716044084797732,,,,,,,,,
0.0,none,0,__MICRO_MACRO__,0.4733893557422969,0.5353748680042238,0.5024777006937562,507.0,564.0,440.0,,,,0.4733893557422969,0.5353748680042238,0.5024777006937562,0.6583766988930922,0.5717804834829309,0.5672802558865289,507.0,564.0,440.0
0.1,explicit_alpha0,0,V1,0.8939393939393939,0.38562091503267976,0.5388127853881278,59.0,7.0,94.0,66,0.3571534667850667,0.10644861618271437,,,,,,,,,
0.1,explicit_alpha0,0,V2,0.8,0.4444444444444444,0.5714285714285714,4.0,1.0,5.0,5,0.3812837564093408,0.12372040140224137,,,,,,,,,
0.1,explicit_alpha0,0,V3,0.5384615384615384,0.3333333333333333,0.41176470588235287,14.0,12.0,28.0,26,0.36243846282887643,0.13197349532065175,,,,,,,,,
0.1,explicit_alpha0,0,V4,0.5555555555555556,0.4166666666666667,0.4761904761904762,5.0,4.0,7.0,9,0.39421059207996023,0.13164885668435247,,,,,,,,,
0.1,explicit_alpha0,0,V5,0.9411764705882353,0.5714285714285714,0.7111111111111111,16.0,1.0,12.0,17,0.31305900143038995,0.14859660601547292,,,,,,,,,
0.1,explicit_alpha0,0,V6,0.42981501632208924,0.5766423357664233,0.49251870324189523,395.0,524.0,290.0,919,0.17605368932528487,0.13505178249052457,,,,,,,,,
0.1,explicit_alpha0,0,V7,0.5,0.8,0.6153846153846154,4.0,4.0,1.0,8,0.3625419149258906,0.12744015134851344,,,,,,,,,
0.1,explicit_alpha0,0,V8,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0,7,0.3612143917783921,0.1388101511135171,,,,,,,,,
0.1,explicit_alpha0,0,V9,0.3333333333333333,0.25,0.28571428571428575,1.0,2.0,3.0,3,0.2563120845308734,0.14396382444681932,,,,,,,,,
0.1,explicit_alpha0,0,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2983468472148905,0.12725019988315986,,,,,,,,,
0.1,explicit_alpha0,0,__MICRO_MACRO__,0.474671669793621,0.5343189017951425,0.5027322404371586,506.0,560.0,441.0,,,,0.474671669793621,0.5343189017951425,0.5027322404371586,0.6182757498676337,0.5635279123814976,0.5460068111484293,506.0,560.0,441.0
0.1,explicit_alpha0,1,V1,0.9166666666666666,0.35947712418300654,0.5164319248826291,55.0,5.0,98.0,60,0.35545322681166364,0.10651494174974468,,,,,,,,,
0.1,explicit_alpha0,1,V2,0.5714285714285714,0.4444444444444444,0.5,4.0,3.0,5.0,7,0.3896714515752297,0.12435016065151652,,,,,,,,,
0.1,explicit_alpha0,1,V3,0.5769230769230769,0.35714285714285715,0.4411764705882353,15.0,11.0,27.0,26,0.36189715121652083,0.12877930736840262,,,,,,,,,
0.1,explicit_alpha0,1,V4,0.5833333333333334,0.5833333333333334,0.5833333333333334,7.0,5.0,5.0,12,0.3930682481392497,0.1370124382530778,,,,,,,,,
0.1,explicit_alpha0,1,V5,1.0,0.5,0.6666666666666666,14.0,0.0,14.0,14,0.31174032184402534,0.1524606804335411,,,,,,,,,
0.1,explicit_alpha0,1,V6,0.43431053203040176,0.583941605839416,0.49813200498132004,400.0,521.0,285.0,921,0.17610523768396927,0.13461257400692983,,,,,,,,,
0.1,explicit_alpha0,1,V7,0.6666666666666666,0.8,0.7272727272727272,4.0,2.0,1.0,6,0.35278647987947936,0.13084540029925204,,,,,,,,,
0.1,explicit_alpha0,1,V8,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0,7,0.35398522567234963,0.13629540258997472,,,,,,,,,
0.1,explicit_alpha0,1,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.2660067586472113,0.14116631121743198,,,,,,,,,
0.1,explicit_alpha0,1,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2974277354913209,0.12477833314195795,,,,,,,,,
0.1,explicit_alpha0,1,__MICRO_MACRO__,0.47883349012229537,0.5374868004223865,0.5064676616915422,509.0,554.0,438.0,,,,0.47883349012229537,0.5374868004223865,0.5064676616915422,0.6439805037524906,0.5985482222085914,0.5790155984867769,509.0,554.0,438.0
0.1,explicit_alpha0,2,V1,0.8636363636363636,0.37254901960784315,0.5205479452054794,57.0,9.0,96.0,66,0.3549806089795969,0.10629488854676648,,,,,,,,,
0.1,explicit_alpha0,2,V2,0.5714285714285714,0.4444444444444444,0.5,4.0,3.0,5.0,7,0.37978069104467616,0.12625457142430468,,,,,,,,,
0.1,explicit_alpha0,2,V3,0.5238095238095238,0.2619047619047619,0.3492063492063492,11.0,10.0,31.0,21,0.36653270071956584,0.13635572033804985,,,,,,,,,
0.1,explicit_alpha0,2,V4,0.46153846153846156,0.5,0.48000000000000004,6.0,7.0,6.0,13,0.3884585059509152,0.1375326999215924,,,,,,,,,
0.1,explicit_alpha0,2,V5,1.0,0.5714285714285714,0.7272727272727273,16.0,0.0,12.0,16,0.3109882080820375,0.14863617186559552,,,,,,,,,
0.1,explicit_alpha0,2,V6,0.4365426695842451,0.5824817518248175,0.49906191369605996,399.0,515.0,286.0,914,0.17599262238707883,0.13496376661675769,,,,,,,,,
0.1,explicit_alpha0,2,V7,0.6666666666666666,0.8,0.7272727272727272,4.0,2.0,1.0,6,0.35491495502284454,0.1318864652114758,,,,,,,,,
0.1,explicit_alpha0,2,V8,1.0,0.7142857142857143,0.8333333333333333,5.0,0.0,2.0,5,0.3626204495904941,0.13979765785342896,,,,,,,,,
0.1,explicit_alpha0,2,V9,0.6,0.75,0.6666666666666665,3.0,2.0,1.0,5,0.26151326557229077,0.14088073307182333,,,,,,,,,
0.1,explicit_alpha0,2,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2971396312259657,0.1256633123610876,,,,,,,,,
0.1,explicit_alpha0,2,__MICRO_MACRO__,0.47875354107648727,0.5353748680042238,0.5054835493519442,507.0,552.0,440.0,,,,0.47875354107648727,0.5353748680042238,0.5054835493519442,0.6456955589997164,0.5997094263496152,0.5803361662653342,507.0,552.0,440.0
0.1,explicit_alpha0,3,V1,0.9285714285714286,0.33986928104575165,0.49760765550239244,52.0,4.0,101.0,56,0.35582385238736247,0.10735634022891903,,,,,,,,,
0.1,explicit_alpha0,3,V2,0.5,0.3333333333333333,0.4,3.0,3.0,6.0,6,0.38467671584785684,0.1148455731724407,,,,,,,,,
0.1,explicit_alpha0,3,V3,0.5769230769230769,0.35714285714285715,0.4411764705882353,15.0,11.0,27.0,26,0.3664871085766962,0.12974004288570104,,,,,,,,,
0.1,explicit_alpha0,3,V4,0.5,0.4166666666666667,0.45454545454545453,5.0,5.0,7.0,10,0.3918262332244045,0.13380446805294602,,,,,,,,,
0.1,explicit_alpha0,3,V5,1.0,0.5,0.6666666666666666,14.0,0.0,14.0,14,0.30617130147388033,0.14538861756267665,,,,,,,,,
0.1,explicit_alpha0,3,V6,0.43675675675675674,0.5897810218978102,0.5018633540372671,404.0,521.0,281.0,925,0.17604489779512955,0.13495465993414368,,,,,,,,,
0.1,explicit_alpha0,3,V7,0.5714285714285714,0.8,0.6666666666666666,4.0,3.0,1.0,7,0.36193915889326717,0.12983080479006615,,,,,,,,,
0.1,explicit_alpha0,3,V8,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0,7,0.3551087625756762,0.14377343557968203,,,,,,,,,
0.1,explicit_alpha0,3,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.25545035909226443,0.14341968333736704,,,,,,,,,
0.1,explicit_alpha0,3,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2976083197037594,0.12763868407618947,,,,,,,,,
0.1,explicit_alpha0,3,__MICRO_MACRO__,0.47785108388312914,0.5353748680042238,0.5049800796812749,507.0,554.0,440.0,,,,0.47785108388312914,0.5353748680042238,0.5049800796812749,0.6204156024156023,0.5693936017229276,0.548566912514954,507.0,554.0,440.0
0.1,explicit_alpha0,4,V1,0.9322033898305084,0.35947712418300654,0.5188679245283019,55.0,4.0,98.0,59,0.35215446176684606,0.10878665486122442,,,,,,,,,
0.1,explicit_alpha0,4,V2,0.8,0.4444444444444444,0.5714285714285714,4.0,1.0,5.0,5,0.37149174104389215,0.12275766371534864,,,,,,,,,
0.1,explicit_alpha0,4,V3,0.625,0.35714285714285715,0.45454545454545453,15.0,9.0,27.0,24,0.3626802612473529,0.13056797279037952,,,,,,,,,
0.1,explicit_alpha0,4,V4,0.5,0.5,0.5,6.0,6.0,6.0,12,0.3969999236512103,0.13323877927240946,,,,,,,,,
0.1,explicit_alpha0,4,V5,0.8888888888888888,0.5714285714285714,0.6956521739130435,16.0,2.0,12.0,18,0.30576243505070155,0.14996552300404326,,,,,,,,,
0.1,explicit_alpha0,4,V6,0.4370208105147864,0.5824817518248175,0.49937421777221536,399.0,514.0,286.0,913,0.17588100746813204,0.13457372885904748,,,,,,,,,
0.1,explicit_alpha0,4,V7,0.8,0.8,0.8000000000000002,4.0,1.0,1.0,5,0.3628733401229682,0.1269853960002975,,,,,,,,,
0.1,explicit_alpha0,4,V8,0.8333333333333334,0.7142857142857143,0.7692307692307692,5.0,1.0,2.0,6,0.3636985391268277,0.14045119059992475,,,,,,,,,
0.1,explicit_alpha0,4,V9,0.5,0.25,0.3333333333333333,1.0,1.0,3.0,2,0.2605266407479336,0.13486933881424606,,,,,,,,,
0.1,explicit_alpha0,4,V10,0.4,1.0,0.5714285714285715,2.0,3.0,0.0,5,0.29296245595408094,0.12713518797797832,,,,,,,,,
0.1,explicit_alpha0,4,__MICRO_MACRO__,0.4833174451858913,0.5353748680042238,0.5080160320641283,507.0,542.0,440.0,,,,0.4833174451858913,0.5353748680042238,0.5080160320641283,0.6716446422567517,0.5579260463309412,0.571386101618026,507.0,542.0,440.0
0.1,explicit_alpha0,5,V1,0.9206349206349206,0.3790849673202614,0.5370370370370371,58.0,5.0,95.0,63,0.3556120266332303,0.10580863101913054,,,,,,,,,
0.1,explicit_alpha0,5,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0,2.0,5.0,6,0.38761320702100255,0.12199561133983343,,,,,,,,,
0.1,explicit_alpha0,5,V3,0.5,0.30952380952380953,0.3823529411764706,13.0,13.0,29.0,26,0.36272197153585134,0.13256892886801722,,,,,,,,,
0.1,explicit_alpha0,5,V4,0.5454545454545454,0.5,0.5217391304347826,6.0,5.0,6.0,11,0.39041624432107785,0.13446110857944502,,,,,,,,,
0.1,explicit_alpha0,5,V5,0.9411764705882353,0.5714285714285714,0.7111111111111111,16.0,1.0,12.0,17,0.3084670818331763,0.1529252821949371,,,,,,,,,
0.1,explicit_alpha0,5,V6,0.44298245614035087,0.5897810218978102,0.5059486537257357,404.0,508.0,281.0,912,0.17629590995489425,0.1347548525383035,,,,,,,,,
0.1,explicit_alpha0,5,V7,0.8,0.8,0.8000000000000002,4.0,1.0,1.0,5,0.3533670059197801,0.13143598156332598,,,,,,,,,
0.1,explicit_alpha0,5,V8,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0,7,0.36484138773030805,0.13362727600938587,,,,,,,,,
0.1,explicit_alpha0,5,V9,0.3333333333333333,0.25,0.28571428571428575,1.0,2.0,3.0,3,0.2621497847681038,0.1432857174276511,,,,,,,,,
0.1,explicit_alpha0,5,V10,0.2857142857142857,1.0,0.4444444444444445,2.0,5.0,0.0,7,0.2998076509008447,0.1303272527921808,,,,,,,,,
0.1,explicit_alpha0,5,__MICRO_MACRO__,0.48628192999053926,0.542766631467793,0.5129740518962076,514.0,543.0,433.0,,,,0.48628192999053926,0.542766631467793,0.5129740518962076,0.6293105535675194,0.5701405671757754,0.5578823794120058,514.0,543.0,433.0
0.1,explicit_alpha0,6,V1,0.9,0.35294117647058826,0.5070422535211269,54.0,6.0,99.0,60,0.3558272303983605,0.10653263887843462,,,,,,,,,
0.1,explicit_alpha0,6,V2,0.5714285714285714,0.4444444444444444,0.5,4.0,3.0,5.0,7,0.3874408978124747,0.11980898511485069,,,,,,,,,
0.1,explicit_alpha0,6,V3,0.6363636363636364,0.3333333333333333,0.43749999999999994,14.0,8.0,28.0,22,0.36645558310693616,0.1319232146186275,,,,,,,,,
0.1,explicit_alpha0,6,V4,0.5555555555555556,0.4166666666666667,0.4761904761904762,5.0,4.0,7.0,9,0.39669884156282975,0.13422857402800825,,,,,,,,,
0.1,explicit_alpha0,6,V5,0.875,0.5,0.6363636363636364,14.0,2.0,14.0,16,0.30861110488182125,0.14560842268273624,,,,,,,,,
0.1,explicit_alpha0,6,V6,0.43278688524590164,0.5781021897810219,0.49500000000000005,396.0,519.0,289.0,915,0.17599886220313726,0.13449237782167106,,,,,,,,,
0.1,explicit_alpha0,6,V7,0.6,0.6,0.6,3.0,2.0,2.0,5,0.3515959634286723,0.12830574501034522,,,,,,,,,
0.1,explicit_alpha0,6,V8,1.0,0.8571428571428571,0.923076923076923,6.0,0.0,1.0,6,0.3554292839513417,0.14688191859757566,,,,,,,,,
0.1,explicit_alpha0,6,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.25663239568444063,0.13483112089113442,,,,,,,,,
0.1,explicit_alpha0,6,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2944590087597913,0.12684943569263218,,,,,,,,,
0.1,explicit_alpha0,6,__MICRO_MACRO__,0.47619047619047616,0.5279831045406547,0.500751126690035,500.0,550.0,447.0,,,,0.47619047619047616,0.5279831045406547,0.500751126690035,0.6404467981926998,0.5582630667838911,0.5575173289152163,500.0,550.0,447.0
0.1,explicit_alpha0,7,V1,0.9137931034482759,0.3464052287581699,0.5023696682464455,53.0,5.0,100.0,58,0.3522401113331168,0.10750032449142698,,,,,,,,,
0.1,explicit_alpha0,7,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0,2.0,5.0,6,0.37908113309168295,0.11842721835752222,,,,,,,,,
0.1,explicit_alpha0,7,V3,0.5,0.2857142857142857,0.36363636363636365,12.0,12.0,30.0,24,0.36668394298861706,0.13133080474543093,,,,,,,,,
0.1,explicit_alpha0,7,V4,0.4,0.3333333333333333,0.3636363636363636,4.0,6.0,8.0,10,0.3940064309439893,0.13070268085609132,,,,,,,,,
0.1,explicit_alpha0,7,V5,1.0,0.6428571428571429,0.782608695652174,18.0,0.0,10.0,18,0.3064300324318888,0.14571449095930555,,,,,,,,,
0.1,explicit_alpha0,7,V6,0.4325782092772384,0.5854014598540146,0.49751861042183615,401.0,526.0,284.0,927,0.17598107415577932,0.13483337754681968,,,,,,,,,
0.1,explicit_alpha0,7,V7,0.6666666666666666,0.8,0.7272727272727272,4.0,2.0,1.0,6,0.343714602623864,0.13245080880992263,,,,,,,,,
0.1,explicit_alpha0,7,V8,0.875,1.0,0.9333333333333333,7.0,1.0,0.0,8,0.3622242404232973,0.14649137805308882,,,,,,,,,
0.1,explicit_alpha0,7,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.24953238224654667,0.14541534633630482,,,,,,,,,
0.1,explicit_alpha0,7,V10,0.4,1.0,0.5714285714285715,2.0,3.0,0.0,5,0.3034012844078826,0.12856390354172284,,,,,,,,,
0.1,explicit_alpha0,7,__MICRO_MACRO__,0.47560975609756095,0.5353748680042238,0.503725782414307,507.0,559.0,440.0,,,,0.47560975609756095,0.5353748680042238,0.503725782414307,0.6354704646058847,0.593815589496139,0.5775137666961149,507.0,559.0,440.0
0.1,explicit_alpha0,8,V1,0.9,0.35294117647058826,0.5070422535211269,54.0,6.0,99.0,60,0.3517442410683687,0.10578320101423139,,,,,,,,,
0.1,explicit_alpha0,8,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0,2.0,5.0,6,0.3798135050520058,0.12041289055238472,,,,,,,,,
0.1,explicit_alpha0,8,V3,0.43478260869565216,0.23809523809523808,0.30769230769230765,10.0,13.0,32.0,23,0.36793707939507947,0.13226526178569226,,,,,,,,,
0.1,explicit_alpha0,8,V4,0.6,0.5,0.5454545454545454,6.0,4.0,6.0,10,0.3962653254343987,0.1347734060195824,,,,,,,,,
0.1,explicit_alpha0,8,V5,1.0,0.6428571428571429,0.782608695652174,18.0,0.0,10.0,18,0.3111659729097737,0.144394619345184,,,,,,,,,
0.1,explicit_alpha0,8,V6,0.43614718614718617,0.5883211678832116,0.5009322560596644,403.0,521.0,282.0,924,0.17635466970896146,0.1355002726599175,,,,,,,,,
0.1,explicit_alpha0,8,V7,0.4444444444444444,0.8,0.5714285714285714,4.0,5.0,1.0,9,0.354234919021958,0.12806072701202653,,,,,,,,,
0.1,explicit_alpha0,8,V8,1.0,1.0,1.0,7.0,0.0,0.0,7,0.3546541327376093,0.14203539655484493,,,,,,,,,
0.1,explicit_alpha0,8,V9,0.6666666666666666,0.5,0.5714285714285715,2.0,1.0,2.0,3,0.26515431569612297,0.13156536273737018,,,,,,,,,
0.1,explicit_alpha0,8,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.29678918127363896,0.1259033083761772,,,,,,,,,
0.1,explicit_alpha0,8,__MICRO_MACRO__,0.47842401500938087,0.5385427666314678,0.5067064083457525,510.0,556.0,437.0,,,,0.47842401500938087,0.5385427666314678,0.5067064083457525,0.648204090595395,0.6066659169750626,0.5819920534570294,510.0,556.0,437.0
0.1,explicit_alpha0,9,V1,0.8947368421052632,0.3333333333333333,0.48571428571428565,51.0,6.0,102.0,57,0.35565683326613645,0.1064592313626935,,,,,,,,,
0.1,explicit_alpha0,9,V2,0.4444444444444444,0.4444444444444444,0.4444444444444444,4.0,5.0,5.0,9,0.3758526324347352,0.11829299787707535,,,,,,,,,
0.1,explicit_alpha0,9,V3,0.56,0.3333333333333333,0.41791044776119407,14.0,11.0,28.0,25,0.36810625182366247,0.12915111207195812,,,,,,,,,
0.1,explicit_alpha0,9,V4,0.5454545454545454,0.5,0.5217391304347826,6.0,5.0,6.0,11,0.39420153709405603,0.13110912187781884,,,,,,,,,
0.1,explicit_alpha0,9,V5,0.9444444444444444,0.6071428571428571,0.7391304347826088,17.0,1.0,11.0,18,0.30774878105015413,0.14361048094910217,,,,,,,,,
0.1,explicit_alpha0,9,V6,0.43426724137931033,0.5883211678832116,0.49969001859888407,403.0,525.0,282.0,928,0.1764032447717335,0.13496597412861447,,,,,,,,,
0.1,explicit_alpha0,9,V7,1.0,0.6,0.7499999999999999,3.0,0.0,2.0,3,0.3562289719933325,0.13475529437643932,,,,,,,,,
0.1,explicit_alpha0,9,V8,0.875,1.0,0.9333333333333333,7.0,1.0,0.0,8,0.3545664613458003,0.13089365617808807,,,,,,,,,
0.1,explicit_alpha0,9,V9,0.5,0.5,0.5,2.0,2.0,2.0,4,0.2553198474732184,0.13667793729481148,,,,,,,,,
0.1,explicit_alpha0,9,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2945323171828153,0.1265528495036621,,,,,,,,,
0.1,explicit_alpha0,9,__MICRO_MACRO__,0.4761459307764266,0.5374868004223865,0.5049603174603174,509.0,560.0,438.0,,,,0.4761459307764266,0.5374868004223865,0.5049603174603174,0.6531680851161341,0.590657513613718,0.5791962095069533,509.0,560.0,438.0
0.1,naive_zero,0,V1,0.9104477611940298,0.39869281045751637,0.5545454545454546,61.0,6.0,92.0,67,0.332523620231999,0.10618454204373486,,,,,,,,,
0.1,naive_zero,0,V2,0.5,0.4444444444444444,0.47058823529411764,4.0,4.0,5.0,8,0.3528266217183179,0.12013671662922998,,,,,,,,,
0.1,naive_zero,0,V3,0.5,0.3333333333333333,0.4,14.0,14.0,28.0,28,0.3362320593437721,0.12900144048336085,,,,,,,,,
0.1,naive_zero,0,V4,0.4,0.5,0.4444444444444445,6.0,9.0,6.0,15,0.3666127131498499,0.1293736583732526,,,,,,,,,
0.1,naive_zero,0,V5,1.0,0.5714285714285714,0.7272727272727273,16.0,0.0,12.0,16,0.2900669342275295,0.1395453563097444,,,,,,,,,
0.1,naive_zero,0,V6,0.4311310190369541,0.5620437956204379,0.48795944233206595,385.0,508.0,300.0,893,0.16180265064594004,0.1269609480961342,,,,,,,,,
0.1,naive_zero,0,V7,0.5,0.8,0.6153846153846154,4.0,4.0,1.0,8,0.341644261650936,0.12561041757145278,,,,,,,,,
0.1,naive_zero,0,V8,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0,7,0.33572792987409683,0.13430085227465682,,,,,,,,,
0.1,naive_zero,0,V9,0.3333333333333333,0.25,0.28571428571428575,1.0,2.0,3.0,3,0.24093819656707308,0.14200544045385527,,,,,,,,,
0.1,naive_zero,0,V10,0.3333333333333333,1.0,0.5,2.0,4.0,0.0,6,0.2780287391810024,0.12499701868316834,,,,,,,,,
0.1,naive_zero,0,__MICRO_MACRO__,0.4747859181731684,0.5269271383315733,0.4994994994994994,499.0,552.0,448.0,,,,0.4747859181731684,0.5269271383315733,0.4994994994994994,0.5765388304040509,0.5717085812427161,0.5343052062130569,499.0,552.0,448.0
0.1,naive_zero,1,V1,0.9180327868852459,0.3660130718954248,0.5233644859813084,56.0,5.0,97.0,61,0.329618108141098,0.10511377801638982,,,,,,,,,
0.1,naive_zero,1,V2,0.5,0.4444444444444444,0.47058823529411764,4.0,4.0,5.0,8,0.3609990461977559,0.1222470352199094,,,,,,,,,
