ablation_mode,max_risk_score,mean_risk_score,number_of_candidate_events,risk_event_density,percentage_high_or_critical_frames,earliest_high_or_critical_timestamp
biomechanics_only,0.6666666666666666,0.3166687333477221,1,0.058823529411764705,1.1764705882352942,4.5
posture_only,0.33384615384615385,0.32720418996871864,0,0.0,0.0,
anomaly_only,0.6295754026354319,0.04096970448148053,1,0.058823529411764705,0.5882352941176471,4.6
biomechanics_plus_posture,0.56,0.3806750331937894,1,0.058823529411764705,1.1764705882352942,4.5
full_fusion,0.6432,0.3964113738468891,8,0.47058823529411764,6.470588235294119,0.7
full_fusion_without_interactions,0.5032,0.3092349032586538,1,0.058823529411764705,0.5882352941176471,4.6
full_fusion_with_surrender_disabled,0.6432,0.3964113738468891,8,0.47058823529411764,6.470588235294119,0.7
full_fusion_with_limb_anomaly_disabled,0.52,0.3842909381543256,1,0.058823529411764705,0.5882352941176471,4.6
