frame_id,timestamp,risk_score,risk_level
0,0.0,0.17503908160915024,LOW
1,0.1,0.42346249888888865,MEDIUM
2,0.2,0.41033942381354543,MEDIUM
3,0.3,0.33,MEDIUM
4,0.4,0.3334615384615385,MEDIUM
5,0.5,0.3334615384615385,MEDIUM
6,0.6,0.3334615384615385,MEDIUM
7,0.7,0.3334615384615385,MEDIUM
8,0.8,0.3334615384615385,MEDIUM
9,0.9,0.3334615384615385,MEDIUM
10,1.0,0.3833491892948719,MEDIUM
11,1.1,0.3334615384615385,MEDIUM
12,1.2,0.3334615384615385,MEDIUM
13,1.3,0.3334615384615385,MEDIUM
14,1.4,0.34790007123931627,MEDIUM
15,1.5,0.3334615384615385,MEDIUM
16,1.6,0.3334615384615385,MEDIUM
17,1.7,0.419202540344718,MEDIUM
18,1.8,0.4606583661020243,MEDIUM
19,1.9,0.5540869609615384,HIGH
20,2.0,0.4834615384615385,MEDIUM
21,2.1,0.4834615384615385,MEDIUM
22,2.2,0.4915277760740041,MEDIUM
23,2.3,0.446399802327863,MEDIUM
24,2.4,0.6564730888606459,HIGH
25,2.5,0.6336253309332684,HIGH
26,2.6,0.4815197517648321,MEDIUM
27,2.7,0.4831159166848944,MEDIUM
28,2.8,0.5626393614003268,HIGH
29,2.9,0.6521778491073025,HIGH
30,3.0,0.60975247198057,HIGH
31,3.1,0.5274526361470451,HIGH
32,3.2,0.507496925738607,HIGH
33,3.3,0.5041214233874125,HIGH
34,3.4,0.4834615384615385,MEDIUM
35,3.5,0.4997214249759211,MEDIUM
36,3.6,0.3712208654936142,MEDIUM
37,3.7,0.3334615384615385,MEDIUM
38,3.8,0.41217523233908854,MEDIUM
39,3.9,0.3334615384615385,MEDIUM
40,4.0,0.45673076357343434,MEDIUM
41,4.1,0.4616866745284883,MEDIUM
42,4.2,0.4689570980256189,MEDIUM
43,4.3,0.4498511331552364,MEDIUM
44,4.4,0.5253932615676722,HIGH
45,4.5,0.5355197089691763,HIGH
46,4.6,0.4428228253850076,MEDIUM
47,4.7,0.47458657482226996,MEDIUM
48,4.8,0.4834615384615385,MEDIUM
49,4.9,0.5634615384615385,HIGH
50,5.0,0.5634615384615385,HIGH
51,5.1,0.552266681318681,HIGH
52,5.2,0.4834615384615385,MEDIUM
53,5.3,0.5310678445839871,HIGH
54,5.4,0.5553612597295025,HIGH
55,5.5,0.5634615384615385,HIGH
56,5.6,0.5634615384615385,HIGH
57,5.7,0.5634615384615385,HIGH
58,5.8,0.5487135996860283,HIGH
59,5.9,0.549582640502355,HIGH
60,6.0,0.4677526187754081,MEDIUM
61,6.1,0.516906172091777,HIGH
62,6.2,0.49001121331381803,MEDIUM
63,6.3,0.46045447031339504,MEDIUM
64,6.4,0.46264611380404347,MEDIUM
65,6.5,0.44728903224189676,MEDIUM
66,6.6,0.5493750027786842,HIGH
67,6.7,0.5141910654256285,HIGH
68,6.8,0.5490999108291549,HIGH
69,6.9,0.5599889512118842,HIGH
70,7.0,0.5634615384615385,HIGH
71,7.1,0.5512161711145996,HIGH
72,7.2,0.54697951097345,HIGH
73,7.3,0.5259899774661032,HIGH
74,7.4,0.5071764978362784,HIGH
75,7.5,0.4420651692823554,MEDIUM
76,7.6,0.31093667981586326,MEDIUM
77,7.7,0.2911175763748215,MEDIUM
78,7.8,0.21068368907913337,LOW
79,7.9,0.20343377608268778,LOW
80,8.0,0.3078566473394886,MEDIUM
81,8.1,0.2821217638266288,MEDIUM
82,8.2,0.27739768320947983,MEDIUM
83,8.3,0.33475160207281196,MEDIUM
84,8.4,0.19956378850955062,LOW
85,8.5,0.23210636486110206,LOW
86,8.6,0.27231641239892196,MEDIUM
87,8.7,0.23039824108637125,LOW
88,8.8,0.3113918153221698,MEDIUM
89,8.9,0.21632716570781593,LOW
90,9.0,0.3002920445118171,MEDIUM
91,9.1,0.3285571684431894,MEDIUM
92,9.2,0.3334615384615385,MEDIUM
93,9.3,0.4808761063701209,MEDIUM
94,9.4,0.4834615384615385,MEDIUM
95,9.5,0.48,MEDIUM
96,9.6,0.48,MEDIUM
97,9.7,0.47147814515930275,MEDIUM
98,9.8,0.49454726027777784,MEDIUM
99,9.9,0.3981464341551418,MEDIUM
100,10.0,0.5104753728778549,HIGH
101,10.1,0.43,MEDIUM
102,10.2,0.43,MEDIUM
103,10.3,0.43,MEDIUM
104,10.4,0.43,MEDIUM
105,10.5,0.43,MEDIUM
106,10.6,0.43,MEDIUM
107,10.7,0.49400663265306116,MEDIUM
108,10.8,0.46737322448979607,MEDIUM
109,10.9,0.51,HIGH
110,11.0,0.5728664724715744,HIGH
111,11.1,0.5700000000000001,HIGH
112,11.2,0.6478396530612244,HIGH
113,11.3,0.5700000000000001,HIGH
114,11.4,0.43,MEDIUM
115,11.5,0.43,MEDIUM
116,11.6,0.43,MEDIUM
117,11.7,0.46818767346938767,MEDIUM
118,11.8,0.43,MEDIUM
119,11.9,0.44116457142857163,MEDIUM
120,12.0,0.43,MEDIUM
121,12.1,0.46905791836734695,MEDIUM
122,12.2,0.43,MEDIUM
123,12.3,0.38811533947709237,MEDIUM
124,12.4,0.4225293157100929,MEDIUM
125,12.5,0.4403001020408162,MEDIUM
126,12.6,0.43,MEDIUM
127,12.7,0.5146094022425767,HIGH
128,12.8,0.5453943048828622,HIGH
129,12.9,0.18000000000000002,LOW
130,13.0,0.5063696894498106,HIGH
131,13.1,0.5700000000000001,HIGH
132,13.2,0.5345522109256087,HIGH
133,13.3,0.43,MEDIUM
134,13.4,0.5181518638707424,HIGH
135,13.5,0.43,MEDIUM
136,13.6,0.3475065758607144,MEDIUM
137,13.7,0.5131064919444446,HIGH
138,13.8,0.48,MEDIUM
139,13.9,0.18000000000000002,LOW
140,14.0,0.43,MEDIUM
141,14.1,0.4412054862391122,MEDIUM
142,14.2,0.5738512898330794,HIGH
143,14.3,0.3649267559665675,MEDIUM
144,14.4,0.5231085502455183,HIGH
145,14.5,0.5649627761967771,HIGH
146,14.6,0.5700000000000001,HIGH
147,14.7,0.43,MEDIUM
148,14.8,0.46777410583333334,MEDIUM
149,14.9,0.43,MEDIUM
150,15.0,0.4255322006329128,MEDIUM
151,15.1,0.5455674642662527,HIGH
152,15.2,0.5444206909339021,HIGH
153,15.3,0.6335241803477707,HIGH
154,15.4,0.42760597699453134,MEDIUM
155,15.5,0.43,MEDIUM
156,15.6,0.43,MEDIUM
157,15.7,0.43,MEDIUM
158,15.8,0.18000000000000002,LOW
159,15.9,0.42068313202147173,MEDIUM
160,16.0,0.43,MEDIUM
161,16.1,0.5273048793208671,HIGH
162,16.2,0.5120380844478318,HIGH
163,16.3,0.4269879387463234,MEDIUM
164,16.4,0.43,MEDIUM
165,16.5,0.3243380153176874,MEDIUM
166,16.6,0.5101765285058448,HIGH
167,16.7,0.43,MEDIUM
168,16.8,0.19855194856074168,LOW
169,16.9,0.453586891696695,MEDIUM
170,17.0,0.4377177086093942,MEDIUM
171,17.1,0.39691485810811794,MEDIUM
172,17.2,0.18000000000000002,LOW
173,17.3,0.38028388668350727,MEDIUM
174,17.4,0.5700000000000001,HIGH
175,17.5,0.40627101006698535,MEDIUM
176,17.6,0.3071155917292867,MEDIUM
177,17.7,0.3406540000000002,MEDIUM
178,17.8,0.09000000000000001,LOW
179,17.9,0.33,MEDIUM
180,18.0,0.49515305365039197,MEDIUM
181,18.1,0.45234747136107945,MEDIUM
182,18.2,0.4256123131631169,MEDIUM
183,18.3,0.3515475898668468,MEDIUM
184,18.4,0.5699501699043095,HIGH
185,18.5,0.5418781337211436,HIGH
186,18.6,0.43,MEDIUM
187,18.7,0.29674895574382015,MEDIUM
188,18.8,0.43,MEDIUM
189,18.9,0.4348906369444444,MEDIUM
190,19.0,0.24821365264805306,LOW
191,19.1,0.39355706102570204,MEDIUM
192,19.2,0.43,MEDIUM
193,19.3,0.43,MEDIUM
194,19.4,0.3954433898505236,MEDIUM
195,19.5,0.5433140128752545,HIGH
196,19.6,0.43,MEDIUM
197,19.7,0.43,MEDIUM
198,19.8,0.18000000000000002,LOW
199,19.9,0.18000000000000002,LOW
200,20.0,0.18000000000000002,LOW
201,20.1,0.18000000000000002,LOW
202,20.2,0.18000000000000002,LOW
203,20.3,0.18000000000000002,LOW
204,20.4,0.3511809384281605,MEDIUM
205,20.5,0.43,MEDIUM
206,20.6,0.3805755291220893,MEDIUM
207,20.7,0.5023839137061307,HIGH
208,20.8,0.18000000000000002,LOW
209,20.9,0.21146186136090536,LOW
210,21.0,0.4578467663561177,MEDIUM
211,21.1,0.43,MEDIUM
212,21.2,0.4370617346938776,MEDIUM
213,21.3,0.18000000000000002,LOW
214,21.4,0.5126969212247557,HIGH
215,21.5,0.65,HIGH
216,21.6,0.5700000000000001,HIGH
217,21.7,0.5700000000000001,HIGH
218,21.8,0.5271340929163567,HIGH
219,21.9,0.4062405556224847,MEDIUM
220,22.0,0.5700000000000001,HIGH
221,22.1,0.5700000000000001,HIGH
222,22.2,0.5700000000000001,HIGH
223,22.3,0.5665472379524101,HIGH
224,22.4,0.5044141739534544,HIGH
225,22.5,0.41977781578748635,MEDIUM
226,22.6,0.4420501953606924,MEDIUM
227,22.7,0.5650958028955494,HIGH
228,22.8,0.5223232546991954,HIGH
229,22.9,0.5104170272510588,HIGH
230,23.0,0.37364587781850694,MEDIUM
231,23.1,0.4076763143574108,MEDIUM
232,23.2,0.3470937116062813,MEDIUM
233,23.3,0.3510050576681873,MEDIUM
234,23.4,0.43,MEDIUM
235,23.5,0.33,MEDIUM
236,23.6,0.488972962507695,MEDIUM
237,23.7,0.47852942382699515,MEDIUM
238,23.8,0.33,MEDIUM
239,23.9,0.44781489663301965,MEDIUM
240,24.0,0.38334226530612253,MEDIUM
241,24.1,0.5075377657583319,HIGH
242,24.2,0.3903154897959184,MEDIUM
243,24.3,0.44264989545432093,MEDIUM
244,24.4,0.44648087497433453,MEDIUM
245,24.5,0.43020579591836755,MEDIUM
246,24.6,0.4321074759787622,MEDIUM
247,24.7,0.48,MEDIUM
248,24.8,0.47034523104177894,MEDIUM
249,24.9,0.48,MEDIUM
250,25.0,0.48,MEDIUM
251,25.1,0.4956050241699507,MEDIUM
252,25.2,0.5128444238888887,HIGH
