ablation_mode,max_risk_score,mean_risk_score,number_of_candidate_events,risk_event_density,percentage_high_or_critical_frames,earliest_high_or_critical_timestamp
biomechanics_only,0.806978361111111,0.4982647523424548,9,0.3557312252964427,47.43083003952569,2.4
posture_only,0.6538461538461539,0.4002811667532762,20,0.7905138339920948,34.78260869565217,1.8
anomaly_only,0.6044760510353483,0.22220078968800536,4,0.15810276679841898,1.9762845849802373,2.4
biomechanics_plus_posture,0.8306400213132078,0.5433311723142126,9,0.3557312252964427,69.56521739130434,1.8
full_fusion,0.7743552417517943,0.5363685595882348,11,0.43478260869565216,68.37944664031622,0.1
full_fusion_without_interactions,0.5643552417517943,0.37115116828388695,5,0.1976284584980237,2.766798418972332,2.4
full_fusion_with_surrender_disabled,0.7743552417517943,0.5363685595882348,11,0.43478260869565216,68.37944664031622,0.1
full_fusion_with_limb_anomaly_disabled,0.6564730888606459,0.43316279767864807,22,0.8695652173913043,29.249011857707508,1.9
