ablation_mode,max_risk_score,mean_risk_score,number_of_candidate_events,risk_event_density,percentage_high_or_critical_frames,earliest_high_or_critical_timestamp
biomechanics_only,0.8979344629629629,0.4270515396286778,9,0.9574468085106382,27.659574468085108,1.7
posture_only,0.6538461538461539,0.3429326546279901,10,1.0638297872340425,26.595744680851062,0.5
anomaly_only,0.6295754026354319,0.22882661318123773,3,0.3191489361702127,3.1914893617021276,2.9
biomechanics_plus_posture,0.7425335043596754,0.4682055126745828,9,0.9574468085106382,50.0,0.1
full_fusion,0.7373737496007964,0.4824969964761806,8,0.851063829787234,48.93617021276596,0.1
full_fusion_without_interactions,0.5326057649743955,0.3294118900932017,2,0.2127659574468085,2.127659574468085,2.9
full_fusion_with_surrender_disabled,0.7373737496007964,0.4824969964761806,8,0.851063829787234,48.93617021276596,0.1
full_fusion_with_limb_anomaly_disabled,0.6385013833781422,0.3788963820135498,12,1.276595744680851,14.893617021276595,0.6
