timeline,iou,tol,micro_f1,precision,recall,tp,fp,fn,n_pred
events,0.01,0.5,0.5024777006937562,0.4733893557422969,0.5353748680042238,507,564,440,1071
events_risk_only,0.01,0.5,0.41011984021304926,0.3537519142419602,0.48785638859556496,462,844,485,1306
strike_events,0.01,0.5,0.46646884272997036,0.532520325203252,0.4149947201689546,393,345,554,738
