frame_id,timestamp,risk_score,risk_level
0,0.0,0.20570201608047087,LOW
1,0.1,0.29282576866764276,MEDIUM
2,0.2,0.051283973831197,LOW
3,0.3,0.2627384979292823,MEDIUM
4,0.4,0.2030896505665,LOW
5,0.5,0.2190158253061183,LOW
6,0.6,0.04675097008339383,LOW
7,0.7,0.0,LOW
8,0.8,0.29282576866764276,MEDIUM
9,0.9,0.29282576866764276,MEDIUM
10,1.0,0.0665973554685741,LOW
11,1.1,0.0,LOW
12,1.2,0.0,LOW
13,1.3,0.23219303191046828,LOW
14,1.4,0.05065596036943634,LOW
15,1.5,0.009313153850998524,LOW
16,1.6,0.01792828534638058,LOW
17,1.7,0.0,LOW
18,1.8,0.0,LOW
19,1.9,0.0321586132908788,LOW
20,2.0,0.2677264170675591,MEDIUM
21,2.1,0.2677264170675591,MEDIUM
22,2.2,0.5685209167073371,HIGH
23,2.3,0.24533525100129894,LOW
24,2.4,0.2677264170675591,MEDIUM
25,2.5,0.29282576866764276,MEDIUM
26,2.6,0.19264750350198429,LOW
27,2.7,0.29282576866764276,MEDIUM
28,2.8,0.29282576866764276,MEDIUM
29,2.9,0.10897964147277849,LOW
30,3.0,0.0,LOW
31,3.1,0.0985374704818524,LOW
32,3.2,0.0,LOW
33,3.3,0.0,LOW
34,3.4,0.0,LOW
35,3.5,0.09790583913889847,LOW
36,3.6,0.4464511761835041,MEDIUM
37,3.7,0.29282576866764276,MEDIUM
38,3.8,0.126525871610293,LOW
39,3.9,0.010795741636223221,LOW
40,4.0,0.0,LOW
41,4.1,0.21813046314770942,LOW
42,4.2,0.46613417358060844,MEDIUM
43,4.3,0.5628582645752506,HIGH
44,4.4,0.24236042476505693,LOW
45,4.5,0.29282576866764276,MEDIUM
46,4.6,0.09401201863085899,LOW
47,4.7,0.0,LOW
48,4.8,0.26737084276561307,MEDIUM
49,4.9,0.14187238173790506,LOW
50,5.0,0.29282576866764276,MEDIUM
51,5.1,0.2677264170675591,MEDIUM
52,5.2,0.17120495629291152,LOW
53,5.3,0.09555041569244477,LOW
54,5.4,0.2070959694824353,LOW
55,5.5,0.015215635765795345,LOW
56,5.6,0.2419799172622878,LOW
57,5.7,0.11378707283191976,LOW
58,5.8,0.0,LOW
59,5.9,0.0,LOW
60,6.0,0.0,LOW
61,6.1,0.11035252510439791,LOW
62,6.2,0.03273277200396066,LOW
63,6.3,0.06123009970617628,LOW
64,6.4,0.15440665112492552,LOW
65,6.5,0.1834133589931187,LOW
66,6.6,0.190837986109955,LOW
67,6.7,0.20155183458878412,LOW
68,6.8,0.27559885796100103,MEDIUM
69,6.9,0.29282576866764276,MEDIUM
70,7.0,0.10909116388648325,LOW
71,7.1,0.0940541745776564,LOW
72,7.2,0.0920813342684481,LOW
73,7.3,0.05021866698116077,LOW
74,7.4,0.23998523777140685,LOW
75,7.5,0.245519034547969,LOW
76,7.6,0.14029833899202027,LOW
77,7.7,0.2677264170675591,MEDIUM
78,7.8,0.20086274575550547,LOW
79,7.9,0.1402525507769863,LOW
80,8.0,0.29282576866764276,MEDIUM
81,8.1,0.1455520839190427,LOW
82,8.2,0.19946596625153143,LOW
83,8.3,0.3893557847287594,MEDIUM
84,8.4,0.2677264170675591,MEDIUM
85,8.5,0.19864128540536535,LOW
86,8.6,0.0,LOW
87,8.7,0.0,LOW
88,8.8,0.38879332548052103,MEDIUM
89,8.9,0.5789513007963287,HIGH
90,9.0,0.0,LOW
91,9.1,0.0,LOW
92,9.2,0.0,LOW
93,9.3,0.05690708051047645,LOW
94,9.4,0.1325004739318129,LOW
95,9.5,0.29282576866764276,MEDIUM
96,9.6,0.07042600028159848,LOW
97,9.7,0.07539666070692332,LOW
98,9.8,0.017975939165870886,LOW
99,9.9,0.14997602913646868,LOW
100,10.0,0.1075674394285932,LOW
101,10.1,0.06170217703696575,LOW
102,10.2,0.08961317455178482,LOW
103,10.3,0.29282576866764276,MEDIUM
104,10.4,0.29282576866764276,MEDIUM
105,10.5,0.0767418764256137,LOW
106,10.6,0.29282576866764276,MEDIUM
107,10.7,0.29282576866764276,MEDIUM
108,10.8,0.29282576866764276,MEDIUM
109,10.9,0.29282576866764276,MEDIUM
110,11.0,0.11565473369358979,LOW
111,11.1,0.17910064008124527,LOW
112,11.2,0.23437643040736197,LOW
113,11.3,0.09743353264209857,LOW
114,11.4,0.29282576866764276,MEDIUM
115,11.5,0.19854280031466873,LOW
116,11.6,0.3943073568407353,MEDIUM
117,11.7,0.29282576866764276,MEDIUM
118,11.8,0.29282576866764276,MEDIUM
119,11.9,0.29282576866764276,MEDIUM
120,12.0,0.29282576866764276,MEDIUM
121,12.1,0.29282576866764276,MEDIUM
122,12.2,0.29282576866764276,MEDIUM
123,12.3,0.29282576866764276,MEDIUM
124,12.4,0.29282576866764276,MEDIUM
125,12.5,0.6295754026354319,HIGH
126,12.6,0.29282576866764276,MEDIUM
127,12.7,0.29282576866764276,MEDIUM
128,12.8,0.6295754026354319,HIGH
129,12.9,0.17355665995437808,LOW
130,13.0,0.22924152677096649,LOW
131,13.1,0.26539823014865827,MEDIUM
132,13.2,0.028593804551725492,LOW
133,13.3,0.29282576866764276,MEDIUM
134,13.4,0.6044760510353483,HIGH
135,13.5,0.5431394866575614,HIGH
136,13.6,0.14129021881597356,LOW
137,13.7,0.0,LOW
138,13.8,0.0,LOW
139,13.9,0.29282576866764276,MEDIUM
140,14.0,0.26147151675180313,MEDIUM
