video_id,TP,FP,FN,precision,recall,F1,mean_latency,status
V1,25,1,128,0.961538,0.163399,0.27933,0.181333,OK
V2,3,0,6,1,0.333333,0.5,0.244444,OK
V3,1,9,41,0.1,0.02381,0.038462,-0.033333,OK
V4,2,11,10,0.153846,0.166667,0.16,0.233333,OK
V5,24,34,4,0.413793,0.857143,0.55814,0.108333,OK
V6,558,1964,127,0.221253,0.814599,0.347989,0.176165,OK
V7,3,13,2,0.1875,0.6,0.285714,0.344444,OK
V8,6,13,1,0.315789,0.857143,0.461538,0.144444,OK
V9,1,6,3,0.142857,0.25,0.181818,0.4,OK
V10,2,3,0,0.4,1,0.571429,0.35,OK
__micro__,625,2054,322,0.233296,0.659979,0.344732,,OK
__macro__,,,,0.389658,0.506609,0.338442,0.214916,OK
