video_id,TP,FP,FN,precision,recall,F1,mean_latency,status
V1,16,1,137,0.941176,0.104575,0.188235,0.09375,OK
V2,3,0,6,1,0.333333,0.5,0.244444,OK
V3,1,8,41,0.111111,0.02381,0.039216,0.066667,OK
V4,1,11,11,0.083333,0.083333,0.083333,0.433333,OK
V5,24,32,4,0.428571,0.857143,0.571429,0.122222,OK
V6,554,1868,131,0.228737,0.808759,0.356614,0.184477,OK
V7,3,12,2,0.2,0.6,0.3,0.377778,OK
V8,6,14,1,0.3,0.857143,0.444444,0.122222,OK
V9,1,5,3,0.166667,0.25,0.2,0.4,OK
V10,2,3,0,0.4,1,0.571429,0.35,OK
__micro__,611,1954,336,0.238207,0.645195,0.34795,,OK
__macro__,,,,0.38596,0.49181,0.32547,0.239489,OK
