baseline,TP,FP,FN,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mean_latency
full_fusion,686,2336,261,0.22700198544010589,0.7243928194297783,0.345679012345679,0.40806699141151465,0.6203029094849619,0.4012250587142051,0.17043863148863167
risk_only,576,1708,371,0.2521891418563923,0.6082365364308342,0.3565459610027855,0.3989853597634948,0.458713767745541,0.3093569170172944,0.18746417445482874
strike_detector,393,345,554,0.532520325203252,0.4149947201689546,0.46646884272997036,0.6410004719207174,0.4121418007592331,0.44412491551586275,0.05473817663817698
velocity_threshold,195,200,752,0.4936708860759494,0.20591341077085534,0.2906110283159464,0.6113975155279503,0.17531466601239037,0.2536636723368856,0.17312994595637868
