strike_percentile,TP,FP,FN,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mean_latency
85,393,345,554,0.532520325203252,0.4149947201689546,0.46646884272997036,0.6410004719207174,0.4121418007592331,0.44412491551586275,0.05473817663817698
90,330,294,617,0.5288461538461539,0.3484688489968321,0.42011457670273716,0.6003297116626852,0.3251910350514902,0.39612818060307303,0.14114534231200898
95,195,200,752,0.4936708860759494,0.20591341077085534,0.2906110283159464,0.6113975155279503,0.17531466601239037,0.2536636723368856,0.17312994595637868
97,136,145,811,0.48398576512455516,0.14361140443505807,0.2214983713355049,0.5877551020408164,0.13638052301212455,0.2116617510438597,0.12563480963481008
