p,mode,video_id,f1,precision,recall,tp,fp,fn,n_pred
0.0,none,V1,0.4953271028037383,0.8688524590163934,0.3464052287581699,53.0,8.0,100.0,61.0
0.0,none,V10,0.5,0.3333333333333333,1.0,2.0,4.0,0.0,6.0
0.0,none,V2,0.5333333333333333,0.6666666666666666,0.4444444444444444,4.0,2.0,5.0,6.0
0.0,none,V3,0.417910447761194,0.56,0.3333333333333333,14.0,11.0,28.0,25.0
0.0,none,V4,0.4761904761904762,0.5555555555555556,0.4166666666666667,5.0,4.0,7.0,9.0
0.0,none,V5,0.6,1.0,0.4285714285714285,12.0,0.0,16.0,12.0
0.0,none,V6,0.499691548426897,0.4326923076923077,0.5912408759124088,405.0,531.0,280.0,936.0
0.0,none,V7,0.7272727272727272,0.6666666666666666,0.8,4.0,2.0,1.0,6.0
0.0,none,V8,0.923076923076923,1.0,0.8571428571428571,6.0,0.0,1.0,6.0
0.0,none,V9,0.5,0.5,0.5,2.0,2.0,2.0,4.0
0.1,explicit_alpha0,V1,0.5131473733546953,0.9064182108832822,0.3581699346405228,54.8,5.7,98.2,60.5
0.1,explicit_alpha0,V10,0.5087301587301588,0.34190476190476193,1.0,2.0,3.9,0.0,5.9
0.1,explicit_alpha0,V2,0.5087301587301587,0.6258730158730159,0.4333333333333333,3.9,2.5,5.1,6.4
0.1,explicit_alpha0,V3,0.40069615110769635,0.5472263461176505,0.31666666666666665,13.3,11.0,28.7,24.3
0.1,explicit_alpha0,V4,0.4922828910220214,0.5246891996891996,0.4666666666666667,5.6,5.1,6.4,10.7
0.1,explicit_alpha0,V5,0.7119191919191918,0.9590686274509803,0.5678571428571428,15.9,0.7,12.1,16.6
0.1,explicit_alpha0,V6,0.49900397325348783,0.4353207763398266,0.5845255474452555,400.4,519.4,284.6,919.8
0.1,explicit_alpha0,V7,0.6985298035298035,0.6715873015873016,0.76,3.8,2.2,1.2,6.0
0.1,explicit_alpha0,V8,0.8820879120879119,0.9011904761904763,0.8714285714285716,6.1,0.7,0.9,6.8
0.1,explicit_alpha0,V9,0.46428571428571425,0.49333333333333335,0.45,1.8,1.8,2.2,3.6
0.1,naive_zero,V1,0.5215581805522156,0.9120144604934473,0.365359477124183,55.9,5.4,97.1,61.3
0.1,naive_zero,V10,0.5158730158730158,0.3485714285714286,1.0,2.0,3.8,0.0,5.8
0.1,naive_zero,V2,0.4830718954248366,0.5182539682539683,0.45555555555555555,4.1,3.9,4.9,8.0
0.1,naive_zero,V3,0.36649906271174926,0.5054079616036138,0.28809523809523807,12.1,11.9,29.9,24.0
0.1,naive_zero,V4,0.4617641392978725,0.4324288701494584,0.5,6.0,7.8,6.0,13.8
0.1,naive_zero,V5,0.6769402558114981,0.9799404761904762,0.5178571428571428,14.5,0.3,13.5,14.8
0.1,naive_zero,V6,0.4930806317675816,0.43761515526966477,0.5646715328467152,386.8,497.1,298.2,883.9
0.1,naive_zero,V7,0.6306293706293706,0.5826190476190476,0.7,3.5,2.6,1.5,6.1
0.1,naive_zero,V8,0.8475818789054085,0.8364682539682541,0.8714285714285713,6.1,1.3,0.9,7.4
0.1,naive_zero,V9,0.3952380952380952,0.4666666666666666,0.35,1.4,1.6,2.6,3.0
0.3,explicit_alpha0,V1,0.5252878903271385,0.9077117825885965,0.3699346405228758,56.6,5.8,96.4,62.4
0.3,explicit_alpha0,V10,0.5031746031746032,0.33714285714285713,1.0,2.0,4.0,0.0,6.0
0.3,explicit_alpha0,V2,0.4921705092293328,0.613531746031746,0.42222222222222217,3.8,2.5,5.2,6.3
0.3,explicit_alpha0,V3,0.41697361968701935,0.5426564045788185,0.3404761904761905,14.3,12.1,27.7,26.4
0.3,explicit_alpha0,V4,0.5648541874637537,0.5256807176311821,0.6166666666666666,7.4,6.9,4.6,14.3
0.3,explicit_alpha0,V5,0.7285292391027284,0.9332529239766082,0.5999999999999999,16.8,1.2,11.2,18.0
0.3,explicit_alpha0,V6,0.4980768936634649,0.43321544511299803,0.5858394160583942,401.3,525.1,283.7,926.4
0.3,explicit_alpha0,V7,0.6382051282051281,0.5933333333333333,0.7,3.5,2.5,1.5,6.0
0.3,explicit_alpha0,V8,0.8145437405731523,0.8452777777777778,0.8142857142857143,5.7,1.3,1.3,7.0
0.3,explicit_alpha0,V9,0.5111111111111111,0.5333333333333333,0.5,2.0,1.7,2.0,3.7
0.3,naive_zero,V1,0.47172611243863977,0.9647084075175962,0.3124183006535947,47.8,1.8,105.2,49.6
0.3,naive_zero,V10,0.5642857142857143,0.39333333333333337,1.0,2.0,3.1,0.0,5.1
0.3,naive_zero,V2,0.6069397759103642,0.7576190476190476,0.5111111111111111,4.6,1.6,4.4,6.2
0.3,naive_zero,V3,0.21733195730267943,0.45772560772560766,0.14285714285714282,6.0,7.0,36.0,13.0
0.3,naive_zero,V4,0.502074321262308,0.4209326625386997,0.6249999999999999,7.5,10.4,4.5,17.9
0.3,naive_zero,V5,0.6246164669136876,0.9436034798534798,0.46785714285714286,13.1,0.8,14.9,13.9
0.3,naive_zero,V6,0.4869000147844777,0.4598448328203159,0.5173722627737225,354.4,416.4,330.6,770.8
0.3,naive_zero,V7,0.48797979797979796,0.4828571428571428,0.5,2.5,2.7,2.5,5.2
0.3,naive_zero,V8,0.7126173826173825,0.7930952380952382,0.6571428571428571,4.6,1.3,2.4,5.9
0.3,naive_zero,V9,0.33333333333333337,0.5,0.25,1.0,1.0,3.0,2.0
0.5,explicit_alpha0,V1,0.5021733654935665,0.9152123136458226,0.3464052287581699,53.0,5.0,100.0,58.0
0.5,explicit_alpha0,V10,0.4955555555555556,0.3321428571428572,1.0,2.0,4.2,0.0,6.2
0.5,explicit_alpha0,V2,0.5036701860231272,0.5990079365079365,0.4444444444444445,4.0,2.8,5.0,6.8
0.5,explicit_alpha0,V3,0.42291605917335956,0.5539634439634438,0.34285714285714286,14.4,11.7,27.6,26.1
0.5,explicit_alpha0,V4,0.5918163720337632,0.5550865800865801,0.6416666666666667,7.7,6.3,4.3,14.0
0.5,explicit_alpha0,V5,0.7185714251566283,0.9269806423366795,0.5892857142857142,16.5,1.3,11.5,17.8
0.5,explicit_alpha0,V6,0.5021422681709652,0.41941870668956077,0.6255474452554745,428.5,593.2,256.5,1021.7
0.5,explicit_alpha0,V7,0.6911421911421912,0.6321428571428572,0.78,3.9,2.4,1.1,6.3
0.5,explicit_alpha0,V8,0.8320528980823099,0.814325396825397,0.8714285714285713,6.1,1.6,0.9,7.7
0.5,explicit_alpha0,V9,0.559047619047619,0.5366666666666666,0.6,2.4,2.0,1.6,4.4
0.5,naive_zero,V1,0.4184833386190247,0.9903544418334549,0.26535947712418295,40.6,0.4,112.4,41.0
0.5,naive_zero,V10,0.5714285714285714,0.4,1.0,2.0,3.0,0.0,5.0
0.5,naive_zero,V2,0.6216117216117214,0.9433333333333334,0.4666666666666667,4.2,0.3,4.8,4.5
0.5,naive_zero,V3,0.1142448341038543,0.41892857142857143,0.06666666666666664,2.8,3.8,39.2,6.6
0.5,naive_zero,V4,0.4793185971117005,0.43669844861021334,0.5333333333333334,6.4,8.3,5.6,14.7
0.5,naive_zero,V5,0.49325236167341435,0.9045454545454545,0.33928571428571425,9.5,1.0,18.5,10.5
0.5,naive_zero,V6,0.4879925817244913,0.4892813206228917,0.48671532846715326,333.4,348.0,351.6,681.4
0.5,naive_zero,V7,0.42666666666666675,0.4600000000000001,0.4,2.0,2.4,3.0,4.4
0.5,naive_zero,V8,0.5939393939393938,0.77,0.48571428571428565,3.4,1.0,3.6,4.4
0.5,naive_zero,V9,0.33333333333333337,0.5,0.25,1.0,1.0,3.0,2.0
