,,micro_f1,micro_f1,micro_precision,micro_precision,micro_recall,micro_recall,total_tp,total_tp,total_fp,total_fp,total_fn,total_fn
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
p,mode,,,,,,,,,,,,
0.0,none,0.5024777006937562,,0.4733893557422969,,0.5353748680042238,,507.0,,564.0,,440.0,
0.1,explicit_alpha0,0.5056797250032667,0.00330290498957402,0.4786079338125807,0.0036230319427426323,0.5360084477296726,0.0037317446760150997,507.6,3.533962208186281,553.0,6.463573143221771,439.4,3.533962208186281
0.1,naive_zero,0.4985948050853891,0.00376962637860562,0.47895801818940187,0.003342075617050347,0.5199577613516367,0.006719205912841937,492.4,6.363087999461333,535.7,9.333928552448965,454.6,6.363087999461333
0.3,explicit_alpha0,0.5074259825799523,0.005567521863748943,0.47694514086845646,0.005403744787217148,0.5421330517423443,0.008406564020290426,513.4,7.9610161272150455,563.1,12.341888924399807,433.6,7.96101612721503
0.3,naive_zero,0.4829636447348684,0.0053488381845298695,0.4985710474972628,0.0066024061027798895,0.4683210137275607,0.005008887529305771,443.5,4.743416490252573,446.1,8.912537984958794,503.5,4.743416490252573
0.5,explicit_alpha0,0.5089903437878696,0.007248820786870989,0.4606779110520419,0.007321351842166924,0.568637803590285,0.0074043238183606735,538.5,7.011894655987536,630.5,11.806307165616566,408.5,7.011894655987543
0.5,naive_zero,0.4708641351995115,0.0030328602574084375,0.5233006238536742,0.0025418881663033517,0.4279831045406547,0.003486288071640785,405.3,3.301514803843835,369.2,1.98885785202351,541.7,3.3015148038438324
