timeline,iou,tol,micro_f1,precision,recall,tp,fp,fn,n_pred
events,0.01,0.5,0.5024777006937562,0.4733893557422969,0.5353748680042238,507,564,440,1071
events,0.1,0.5,0.48463825569871155,0.4565826330532213,0.5163674762407603,489,582,458,1071
events,0.3,0.5,0.4093161546085233,0.38562091503267976,0.43611404435058077,413,658,534,1071
events,0.5,0.5,0.2765113974231913,0.2605042016806723,0.2946145723336853,279,792,668,1071
events,0.01,0.0,0.38354806739345887,0.36134453781512604,0.40865892291446676,387,684,560,1071
events,0.1,0.0,0.29534192269573833,0.27824463118580767,0.3146779303062302,298,773,649,1071
events,0.3,0.0,0.15857284440039643,0.14939309056956115,0.1689545934530095,160,911,787,1071
