excluded,micro_f1,tp,fp,fn
V1,0.5033259423503326,454,556,340
V2,0.5022466300549175,503,562,435
V3,0.505381855458739,493,553,412
V4,0.5027541311967951,502,560,433
V5,0.500505561172902,495,564,424
V6,0.5138539042821159,102,33,160
V7,0.501245640259093,503,562,439
V8,0.4997506234413964,501,564,439
V9,0.5024875621890547,505,562,438
V10,0.5024875621890548,505,560,440
